// 場景名稱編號文字檔

[name]
item = 23000,測試0
item = 23001,洛陽
item = 23002,長安
item = 23003,鄴
item = 23004,新野
item = 23005,宛
item = 23006,晉陽
item = 23007,許昌
item = 23008,平原
item = 23009,北平
item = 23010,涼州
item = 23011,成都
item = 23012,安定
item = 23013,江州
item = 23014,上庸
item = 23015,襄陽
item = 23016,天水
item = 23017,柴桑
item = 23018,漢中
item = 23019,建寧
item = 23020,武陵
item = 23021,建業
item = 23022,盧江
item = 23023,零陵
item = 23024,長沙
item = 23025,壽春
item = 23026,江夏
item = 23027,皇城
item = 23028,桂陽
item = 23029,徐州
item = 23030,北海
item = 23031,豫章
item = 23032,武關
item = 23033,會稽
item = 23034,臨淵道
item = 23035,陳留
item = 23036,赤壁
item = 23037,遼東
item = 23038,烏林
item = 23039,成都東境
item = 23040,潼關
item = 23041,江州西阡
item = 23042,靈壁
item = 23043,高句麗
item = 23044,江州東陌
item = 23045,成都西境
item = 23046,柴桑西阡
item = 23047,柴桑東阡
item = 23048,九里山
item = 23049,長沙西阡
item = 23050,樂浪
item = 23051,長沙東阡
item = 23052,合肥
item = 23053,盧江西陌
item = 23054,盧江東陌
item = 23055,破軍禁地
item = 23056,貪狼禁地
item = 23057,虎牢關
item = 23058,建業西陌
item = 23059,七殺禁地
item = 23060,峨嵋山
item = 23061,搖光禁地
item = 23062,玉衡禁地
item = 23063,徐州東陌
item = 23064,開陽禁地
item = 23065,北海西境
item = 23066,城市用預留
item = 23067,天權禁地
item = 23068,城市用預留
item = 23069,城市用預留
item = 23070,城市用預留
item = 23071,城市用預留
item = 23072,天璇禁地
item = 23073,特訓基地一
item = 23074,特訓基地二
item = 23075,洛陽東陌
item = 23076,洛陽西阡
item = 23077,天璣禁地
item = 23078,天樞禁地
item = 23079,城市用預留
item = 23080,赤壁三國
item = 23081,鄴西境
item = 23082,鄴東境
item = 23083,平原東境
item = 23084,平原西境
item = 23085,上庸西路
item = 23086,晉陽西境
item = 23087,東海
item = 23088,江夏西陌
item = 23089,江夏東墎
item = 23090,泰山
item = 23091,壽春西陌
item = 23092,壽春東陌
item = 23093,晉陽東境
item = 23094,北平西境
item = 23095,皇城西境
item = 23096,北平東境
item = 23097,皇城東境
item = 23098,徐州西阡
item = 23099,涼州西境
item = 23100,涼州東境
item = 23101,漢中西境
item = 23102,五丈原
item = 23103,巫峽
item = 23104,長阪坡
item = 23105,長安東阡
item = 23106,長安西陌
item = 23107,上庸東境
item = 23108,襄陽白虎道
item = 23109,襄陽青龍道
item = 23110,建業東陌
item = 23111,落鳳坡
item = 23112,許昌東郊
item = 23113,許昌西境
item = 23114,北海東境
item = 23115,漢中東境
item = 23116,建寧西阡
item = 23117,新野城東
item = 23118,建寧東陌
item = 23119,宛城西郊
item = 23120,宛城東境
item = 23121,天水西境
item = 23122,新野西境
item = 23123,方外之地-校台
item = 23124,方外-練兵場
item = 23125,方外之地-修所
item = 23126,方外之地-天台
item = 23127,大興山
item = 23128,房陵
item = 23129,天柱山
item = 23130,滎陽
item = 23131,綿竹
item = 23132,曲阿
item = 23133,天水東境
item = 23134,安定西境
item = 23135,安定東境
item = 23136,武陵西境
item = 23137,武陵東境
item = 23138,零陵西境
item = 23139,零陵東境
item = 23140,桂陽西阡
item = 23141,桂陽東阡
item = 23142,豫章西境
item = 23143,豫章東境
item = 23144,會稽西境
item = 23145,會稽東境
item = 23146,壼關
item = 23147,雁門關
item = 23148,北平渡口
item = 23149,官渡
item = 23150,街亭
item = 23151,祁山
item = 23152,青城山
item = 23153,會稽渡口
item = 23154,桂林
item = 23155,陳留西境
item = 23156,陳留東境
item = 23157,鄱陽湖
item = 23158,建業渡口
item = 23159,北海渡口
item = 23160,魏國據點
item = 23161,蜀國據點
item = 23162,吳國據點
item = 23163,弘農
item = 23164,禿龍洞
item = 23165,管理者宮殿000
item = 23166,朔方
item = 23167,九原西境
item = 23168,九原近郊
item = 23169,九原
item = 23170,九原東境
item = 23171,雲中
item = 23172,沙口
item = 23173,雲南西境
item = 23174,雲南近郊
item = 23175,雲南
item = 23176,雲南東境
item = 23177,興古
item = 23178,漁陽
item = 23179,遼東西境
item = 23180,城市用預留
item = 23181,遼東東境
item = 23182,夫餘
item = 23183,長白山
item = 23184,玄菟
item = 23185,昌黎
item = 23186,高句麗西境
item = 23187,城市用預留
item = 23188,高句麗東境
item = 23189,樂浪西境
item = 23190,城市用預留
item = 23191,樂浪東境
item = 23192,樂浪渡口
item = 23193,方外之地
item = 23194,碧水地穴 五層
item = 23195,夏口
item = 23196,先秦地監 四層
item = 23197,先秦地監
item = 23198,先秦地監 五層
item = 23199,地下洞窟
item = 23200,地下洞窟 三層
item = 23201,碧水地穴
item = 23202,碧水地穴 二層
item = 23203,碧水地穴 三層
item = 23204,黃巾山寨
item = 23205,黃巾山寨 二層
item = 23206,黃巾山寨 三層
item = 23207,黃泉路
item = 23208,幽冥道
item = 23209,大雪山
item = 23210,猛虎穴
item = 23211,左慈山屋
item = 23212,峨嵋山雲海
item = 23213,鐵門峽
item = 23214,鐵門峽 二層
item = 23215,魏國比武場
item = 23216,魏國晶洞
item = 23217,蜀國晶洞
item = 23218,吳國晶洞
item = 23219,官渡戰場
item = 23220,南皮
item = 23221,深山小徑
item = 23222,百草林
item = 23223,測試地圖1
item = 23224,測試地圖2
item = 23225,測試地圖3
item = 23226,測試地圖4
item = 23227,背景測試
item = 23228,葫蘆谷口
item = 23229,麥城
item = 23230,白馬
item = 23231,濮陽
item = 23232,先秦地監 二層
item = 23233,先秦地監 三層
item = 23234,妖靈洞一
item = 23235,地下洞窟 二層
item = 23236,露天市場
item = 23237,洛陽礦場
item = 23238,成都礦場
item = 23239,建業礦場
item = 23240,蜀國比武場
item = 23241,吳國比武場
item = 23242,皇城武官擂台
item = 23243,皇城文官擂台
item = 23244,新野武官擂台
item = 23245,新野文官擂台
item = 23246,江夏武官擂台
item = 23247,江夏文官擂台
item = 23248,皇城比武場
item = 23249,新野比武場
item = 23250,江夏比武場
item = 23251,兗州
item = 23252,鄱陽
item = 23253,弘農內宮
item = 23254,石亭
item = 23255,遁甲天書
item = 23256,遁甲天書春
item = 23257,遁甲天書夏
item = 23258,遁甲天書秋
item = 23259,遁甲天書東
item = 23260,延津口
item = 23261,烏巢
item = 23262,湘水
item = 23263,盧陵
item = 23264,子午谷
item = 23265,郿塢
item = 23266,箕谷
item = 23267,定軍山
item = 23268,下邳
item = 23269,白門樓
item = 23270,長安武官擂台
item = 23271,長安文官擂台
item = 23272,襄陽武官擂台
item = 23273,襄陽文官擂台
item = 23274,漢中武官擂台
item = 23275,漢中文官擂台
item = 23276,長安比武場
item = 23277,襄陽比武場
item = 23278,漢中比武場
item = 23279,北平至北海
item = 23280,北海至北平
item = 23281,北海至建業
item = 23282,建業至北海
item = 23283,建業至會稽
item = 23284,會稽至建業
item = 23285,會稽至北平
item = 23286,北平至會稽
item = 23287,天門峰朝陽洞
item = 23288,赤壁戰場
item = 23289,夷陵戰場
item = 23290,葭萌關戰場
item = 23291,煉獄一層
item = 23292,煉獄二層
item = 23293,煉獄三層
item = 23294,毒龍潭
item = 23295,寒冰洞
item = 23296,煉獄五層
item = 23297,通天塔
item = 23298,通天塔一層
item = 23299,通天塔二層
item = 23300,通天塔三層
item = 23301,通天塔五層
item = 23302,通天塔六層
item = 23303,通天塔七層
item = 23304,煉獄六層
item = 23305,煉獄七層
item = 23306,北平比武場
item = 23307,江州比武場
